eic;segment_id;start_time;end_time;num_records;duration_hours;duration_days;num_training_examples
24ZVS0000056014E;5;2025-05-01 10:50:00+00:00;2025-06-05 12:10:00+00:00;5049;841.3333333333334;35.05555555555556;28
24ZVS0000056014E;6;2025-06-05 13:20:00+00:00;2025-07-24 11:10:00+00:00;7044;1173.8333333333333;48.90972222222222;41
24ZVS0000056014E;8;2025-07-24 15:40:00+00:00;2025-09-09 08:30:00+00:00;6726;1120.8333333333333;46.701388888888886;39
24ZVS0000056014E;9;2025-09-09 12:50:00+00:00;2025-09-29 22:00:00+00:00;2936;489.1666666666667;20.381944444444446;13
24ZVS0000062005T;1;2023-02-23 00:00:00+00:00;2023-08-21 22:00:00+00:00;25909;4318.0;179.91666666666666;172
24ZVS0000068074H;0;2022-06-30 22:10:00+00:00;2022-07-31 23:50:00+00:00;4475;745.6666666666666;31.069444444444443;24
24ZVS0000068074H;4;2023-02-17 00:00:00+00:00;2023-03-28 08:20:00+00:00;5665;944.3333333333334;39.34722222222222;32
24ZVS0000068074H;5;2023-03-28 08:50:00+00:00;2023-05-25 10:10:00+00:00;8359;1393.3333333333333;58.05555555555555;51
24ZVS0000068074H;6;2023-05-25 10:40:00+00:00;2023-08-15 22:00:00+00:00;11877;1979.3333333333333;82.47222222222221;75
24ZVS0000069029H;4;2024-07-05 13:10:00+00:00;2024-07-15 06:00:00+00:00;1398;232.83333333333334;9.70138888888889;2
24ZVS0000069029H;116;2024-12-18 13:30:00+00:00;2025-01-03 06:50:00+00:00;2265;377.3333333333333;15.722222222222221;8
24ZVS00000723611;113;2023-02-24 08:50:00+00:00;2023-03-11 08:40:00+00:00;2160;359.8333333333333;14.993055555555555;7
24ZVS00000723611;119;2023-03-19 13:20:00+00:00;2023-04-01 06:40:00+00:00;1832;305.3333333333333;12.722222222222221;5
24ZVS00000723611;121;2023-04-08 09:10:00+00:00;2023-08-01 22:00:00+00:00;16637;2772.8333333333335;115.53472222222223;108
24ZVS0000074609I;38;2023-06-25 00:00:00+00:00;2023-12-11 08:30:00+00:00;24388;4064.5;169.35416666666666;162
24ZVS0000076569V;2;2023-02-10 00:00:00+00:00;2023-06-23 17:20:00+00:00;19257;3209.3333333333335;133.72222222222223;126
24ZVS0000076569V;3;2023-06-23 19:40:00+00:00;2023-08-08 22:00:00+00:00;6638;1106.3333333333333;46.09722222222222;39
24ZVS00000784096;89;2023-03-29 00:00:00+00:00;2023-09-27 22:00:00+00:00;26341;4390.0;182.91666666666666;175
24ZVS0000079910X;1107;2023-02-18 00:00:00+00:00;2023-03-01 11:10:00+00:00;1646;275.1666666666667;11.465277777777779;4
24ZVS0000079910X;1120;2023-03-15 09:30:00+00:00;2023-04-05 06:00:00+00:00;2979;500.5;20.854166666666668;13
24ZVS0000622148Q;1;2023-02-11 00:00:00+00:00;2023-08-09 22:00:00+00:00;25909;4318.0;179.91666666666666;172
24ZVS00006369647;3;2023-10-10 17:00:00+00:00;2023-10-27 06:00:00+00:00;2375;397.0;16.541666666666668;9
24ZVS0000639518F;459;2024-08-23 00:00:00+00:00;2024-09-02 04:50:00+00:00;1461;244.83333333333334;10.20138888888889;3
24ZVS0000639518F;603;2024-12-19 10:20:00+00:00;2025-01-07 05:30:00+00:00;2704;451.1666666666667;18.79861111111111;11
24ZVS00006397195;905;2023-05-21 03:40:00+00:00;2023-09-06 08:40:00+00:00;15583;2597.0;108.20833333333333;101
24ZVS00006397195;906;2023-09-06 09:10:00+00:00;2023-10-02 20:30:00+00:00;3811;635.3333333333334;26.472222222222225;19
24ZVS0000649703E;0;2024-07-16 22:10:00+00:00;2024-08-16 23:50:00+00:00;4471;745.6666666666666;31.069444444444443;24
24ZVS0000649703E;3;2024-09-26 00:00:00+00:00;2025-02-26 07:20:00+00:00;22062;3679.3333333333335;153.30555555555557;146
24ZVS0000649703E;5;2025-02-26 09:10:00+00:00;2025-03-24 23:00:00+00:00;3826;637.8333333333334;26.57638888888889;19
24ZVS0000651235I;0;2024-06-03 22:10:00+00:00;2024-07-03 23:50:00+00:00;4331;721.6666666666666;30.069444444444443;23
24ZVS0000651235I;4;2024-07-17 00:00:00+00:00;2025-01-15 23:00:00+00:00;26347;4391.0;182.95833333333334;175
24ZVS0000651235I;5;2025-05-02 22:10:00+00:00;2025-06-02 23:50:00+00:00;4475;745.6666666666666;31.069444444444443;24
24ZVS0000651235I;8;2025-07-03 00:00:00+00:00;2026-01-01 23:00:00+00:00;26347;4391.0;182.95833333333334;175
24ZVS0000653905Q;19;2023-02-16 00:00:00+00:00;2023-05-08 18:20:00+00:00;11775;1962.3333333333333;81.76388888888889;74
24ZVS0000653905Q;20;2023-05-08 18:50:00+00:00;2023-06-14 06:10:00+00:00;5253;875.3333333333334;36.47222222222222;29
24ZVS0000653905Q;21;2023-06-14 06:40:00+00:00;2023-08-14 22:00:00+00:00;8877;1479.3333333333333;61.638888888888886;54
24ZVS00006550267;0;2023-08-28 22:10:00+00:00;2023-09-28 23:50:00+00:00;4475;745.6666666666666;31.069444444444443;24
24ZVS00006550267;2;2024-01-27 00:00:00+00:00;2024-07-25 22:00:00+00:00;26053;4342.0;180.91666666666666;173
24ZVS0000658596P;1;2023-02-04 00:00:00+00:00;2023-03-24 23:20:00+00:00;7053;1175.3333333333333;48.97222222222222;41
24ZVS0000658596P;2;2023-03-24 23:50:00+00:00;2023-08-02 22:00:00+00:00;18854;3142.1666666666665;130.92361111111111;123
24ZVS00006662859;0;2022-05-16 08:00:00+00:00;2022-06-12 23:50:00+00:00;3984;663.8333333333334;27.659722222222225;20
24ZVS00006662859;2;2023-04-01 00:00:00+00:00;2023-06-08 07:50:00+00:00;9840;1639.8333333333333;68.32638888888889;61
24ZVS00006922796;0;2022-12-23 23:10:00+00:00;2023-01-23 23:50:00+00:00;4469;744.6666666666666;31.027777777777775;24
24ZVS00006922796;3;2023-02-07 00:00:00+00:00;2023-08-05 22:00:00+00:00;25909;4318.0;179.91666666666666;172
24ZVS00006922796;4;2025-09-08 22:10:00+00:00;2025-10-08 23:50:00+00:00;4331;721.6666666666666;30.069444444444443;23
24ZVS00006922796;7;2025-10-15 00:00:00+00:00;2026-04-13 22:00:00+00:00;26053;4342.0;180.91666666666666;173
24ZVS0000699367B;0;2023-12-07 23:10:00+00:00;2024-01-07 23:50:00+00:00;4469;744.6666666666666;31.027777777777775;24
24ZVS0000699367B;2;2024-01-31 00:00:00+00:00;2024-06-27 15:00:00+00:00;21403;3567.0;148.625;141
24ZVS0000699367B;3;2024-06-27 16:20:00+00:00;2024-07-29 22:00:00+00:00;4643;773.6666666666666;32.23611111111111;25
24ZVS00007093161;45;2024-07-02 10:30:00+00:00;2024-07-12 10:40:00+00:00;1430;240.16666666666666;10.006944444444445;3
24ZVS00007093161;46;2024-07-12 11:20:00+00:00;2024-07-22 08:10:00+00:00;1418;236.83333333333334;9.868055555555555;2
24ZVS00007093161;158;2024-11-12 08:50:00+00:00;2024-11-21 08:30:00+00:00;1287;215.66666666666666;8.98611111111111;1
24ZVS0000709319W;16;2024-06-18 08:10:00+00:00;2024-07-02 06:00:00+00:00;2003;333.8333333333333;13.909722222222221;6
24ZVS0000709319W;18;2024-07-02 08:30:00+00:00;2024-07-17 06:10:00+00:00;2145;357.6666666666667;14.902777777777779;7
24ZVS0000709319W;20;2024-07-17 14:50:00+00:00;2024-08-02 14:40:00+00:00;2302;383.8333333333333;15.993055555555555;8
24ZVS0000709319W;42;2024-09-04 13:10:00+00:00;2024-09-13 07:00:00+00:00;1259;209.83333333333334;8.743055555555555;1
